,Zone,kcal_jr,proteine_jr,percent_pop,ratio_proteine,cluster
0,Afghanistan,4163.0,94.68999999999996,36.27,0.36,2
1,Afrique du Sud,6807.0,107.45000000000003,14.91,0.66,3
2,Albanie,5169.0,106.86999999999998,-6.87,1.51,3
3,Algérie,6958.0,135.06000000000003,18.21,0.46,1
4,Allemagne,6744.0,86.10000000000005,-0.54,1.82,4
5,Angola,6084.0,86.63000000000004,43.56,0.39,2
6,Antigua-et-Barbuda,4439.0,54.11000000000002,15.4,2.38,4
7,Antilles néerlandaises (ex),3503.0,44.339999999999996,22.42,1.75,4
8,Arabie saoudite,7294.0,116.35,33.82,0.73,2
9,Argentine,6483.0,80.8,10.79,1.86,4
10,Arménie,5570.0,97.32999999999998,-3.99,1.03,3
11,Australie,6309.0,84.61000000000004,18.5,2.05,4
12,Autriche,7116.0,92.28000000000004,4.65,1.78,4
13,Azerbaïdjan,5817.0,124.65000000000002,12.25,0.58,2
14,Bahamas,5684.0,73.03000000000002,17.26,1.8,4
15,Bangladesh,8419.0,157.89999999999998,13.33,0.13,1
16,Barbade,7148.0,89.49000000000004,3.63,1.29,3
17,Belgique,7550.0,91.42999999999999,7.05,1.71,4
18,Belize,6731.0,104.46,28.32,0.7,2
19,Bermudes,4920.0,57.98999999999998,-2.36,2.21,4
20,Bolivie (État plurinational de),5476.0,90.15000000000002,18.38,0.66,2
21,Bosnie-Herzégovine,5940.0,125.25000000000004,-5.84,0.68,3
22,Botswana,5311.0,87.87999999999998,18.92,0.73,2
23,Brunéi Darussalam,7676.0,112.50999999999998,14.47,0.99,3
24,Brésil,7376.0,102.59999999999998,10.58,1.14,3
25,Bulgarie,5647.0,89.79000000000006,-6.59,1.13,3
26,Burkina Faso,5937.0,157.57999999999998,34.91,0.17,2
27,Bélarus,6364.0,95.66000000000003,-2.64,1.23,3
28,Bénin,7491.0,138.00000000000003,33.03,0.19,1
29,Cabo Verde,6100.0,107.47999999999999,13.74,0.64,2
30,Cambodge,8206.0,150.11,16.88,0.23,1
