Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","4729.042179","X","Sources internationales sûres",""
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","19621.802455","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","175255.727017","X","Sources internationales sûres",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","366644.891404","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","5561.459461","X","Sources internationales sûres",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","12776.280738","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","67863.851626","X","Sources internationales sûres",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","209755.003251","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2496032.4141","X","Sources internationales sûres",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","3732743.446219","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","2361.635625","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","3192.603086","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2003","2003","millions","17812.704626","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2013","2013","millions","136709.891897","X","Sources internationales sûres",""
